id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
13,No candidate mentioned,1.0,yes,1.0,Negative,0.6957,None of the above,1.0,,wiggerblonde,,0,,,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,,2015-08-07 09:54:42 -0700,629697183499943936,,
14,Jeb Bush,0.6947,yes,1.0,Neutral,0.6421,Foreign Policy,1.0,,NCBibleThumper,,5,,,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""",,2015-08-07 09:54:42 -0700,629697183210696705,"Montgomery, AL ",Central Time (US & Canada)
15,Scott Walker,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,In_Related_News,,215,,,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,,2015-08-07 09:54:42 -0700,629697182828892161,"San Diego, California",Pacific Time (US & Canada)
16,Chris Christie,1.0,yes,1.0,Negative,1.0,None of the above,0.6778,,MDiner92,,0,,,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,,2015-08-07 09:54:41 -0700,629697179515535360,,Central Time (US & Canada)
17,Donald Trump,0.3923,yes,0.6264,Negative,0.6264,Women's Issues (not abortion though),0.3923,,gina_catch22gg,,45,,,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…,,2015-08-07 09:54:41 -0700,629697178362093568,,
18,Donald Trump,0.6404,yes,1.0,Negative,0.6629,FOX News or Moderators,1.0,,ERNESTZorro,,7,,,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,,2015-08-07 09:54:40 -0700,629697177485312000,,Mountain Time (US & Canada)
19,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.6859999999999999,,LordWhatAMess,,0,,,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,,2015-08-07 09:54:40 -0700,629697176642449408,,Eastern Time (US & Canada)
20,Mike Huckabee,1.0,yes,1.0,Negative,0.6669,LGBT issues,1.0,,oak523,,93,,,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",,2015-08-07 09:54:40 -0700,629697175979585536,NJ,Eastern Time (US & Canada)
21,Ted Cruz,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,rickymcghee,,6,,,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",,2015-08-07 09:54:39 -0700,629697171898527744,"fripp island,sc/ southeast ga",
22,Donald Trump,0.2353,yes,0.6702,Negative,0.3511,None of the above,0.4492,,TeaTraitors,,2,,,RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”,,2015-08-07 09:54:39 -0700,629697171579797508,Conspiracy Theoryland,Pacific Time (US & Canada)
23,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.3484,,hoopsfanatic28f,,404,,,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,,2015-08-07 09:54:39 -0700,629697170476654592,"Lynnwood, WA",Pacific Time (US & Canada)
24,No candidate mentioned,1.0,yes,1.0,Neutral,0.6701,None of the above,0.6701,,ottcanada,,415,,,RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,,2015-08-07 09:54:38 -0700,629697168098504708,"Vancouver, Canada",Eastern Time (US & Canada)
25,No candidate mentioned,1.0,yes,1.0,Negative,0.6989,FOX News or Moderators,1.0,,brattymad,,93,,,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…,,2015-08-07 09:54:38 -0700,629697168052334592,,
26,Marco Rubio,0.6889,yes,1.0,Negative,1.0,None of the above,1.0,,America4Aliens,,0,,,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",,2015-08-07 09:54:38 -0700,629697165548482560,"Sydney, New South Wales",
27,Scott Walker,1.0,yes,1.0,Negative,1.0,Abortion,1.0,,mch7576,,19,,,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…,,2015-08-07 09:54:38 -0700,629697165128957952,USA ,
28,No candidate mentioned,0.4209,yes,0.6488,Negative,0.3401,,0.2279,,lex_ruu,,156,,,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",,2015-08-07 09:54:38 -0700,629697164999028736,,Eastern Time (US & Canada)
29,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,OldOne4Sure,,2,,,RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””,,2015-08-07 09:54:37 -0700,629697162574573568,Cleveland Texas,Central Time (US & Canada)
30,No candidate mentioned,0.405,yes,0.6364,Negative,0.3295,None of the above,0.405,,outlawjoZ,,4965,,,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,,2015-08-07 09:54:37 -0700,629697161274478592,EveryWhere,Eastern Time (US & Canada)
31,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.6702,,BMcCluregolf,,0,,,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,,2015-08-07 09:54:36 -0700,629697160142004228,"Green Bay, WI",
32,Ted Cruz,0.4171,yes,0.6458,Negative,0.6458,None of the above,0.4171,,Ruppy_puppy,,14,,,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …,,2015-08-07 09:54:36 -0700,629697158351073281,,Atlantic Time (Canada)
33,No candidate mentioned,1.0,yes,1.0,Neutral,0.6629,None of the above,1.0,,litvakfeliks,,0,,,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,,2015-08-07 09:54:36 -0700,629697156811722752,European Union,Bratislava
34,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,audreyspizza,,0,,,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,,2015-08-07 09:54:36 -0700,629697156807544833,Canada,Eastern Time (US & Canada)
35,No candidate mentioned,1.0,yes,1.0,Negative,0.6576,FOX News or Moderators,0.6576,,1337invisible,,0,,,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,,2015-08-07 09:54:35 -0700,629697155687686144,News about tech and more!,Pacific Time (US & Canada)
36,No candidate mentioned,1.0,yes,1.0,Negative,0.6393,FOX News or Moderators,1.0,,TeaParty2A,,216,,,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",,2015-08-07 09:54:35 -0700,629697155070951424,United States of America,Mazatlan
37,,0.2277,yes,0.6495,Negative,0.3402,None of the above,0.4218,,RotoStocks,,2,,,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …",,2015-08-07 09:54:35 -0700,629697154706210816,,
38,Jeb Bush,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,shirley_3008,,3427,,,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",,2015-08-07 09:54:35 -0700,629697153288400896,,
39,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.6705,,jasonrlee,,3,,,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",,2015-08-07 09:54:33 -0700,629697146883715072,Arizona,Arizona
40,No candidate mentioned,0.4398,yes,0.6632,Neutral,0.6632,None of the above,0.4398,,Julie38xo_,,12,,,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,,2015-08-07 09:54:33 -0700,629697146644623360,,
41,Donald Trump,0.4302,yes,0.6559,Negative,0.6559,None of the above,0.2398,,JmeMad,,4,,,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,,2015-08-07 09:54:33 -0700,629697146485350404,"Chicago, IL",Central Time (US & Canada)
42,No candidate mentioned,1.0,yes,1.0,Negative,0.6596,None of the above,1.0,,nathansiegel_,,4006,,,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",,2015-08-07 09:54:33 -0700,629697146019840000,,Eastern Time (US & Canada)
43,No candidate mentioned,0.3974,yes,0.6304,Neutral,0.3261,None of the above,0.3974,,Chase_Lea10,,50,,,"RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman.",,2015-08-07 09:54:33 -0700,629697145856094208,,Arizona
44,No candidate mentioned,1.0,yes,1.0,Negative,0.6869,Racial issues,0.6869,,Blessed_Sharday,,450,,,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,,2015-08-07 09:54:32 -0700,629697142077169664,Tac,Pacific Time (US & Canada)
45,Donald Trump,1.0,yes,1.0,Negative,1.0,Women's Issues (not abortion though),0.6713,,SarahMLevin,,0,,,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",,2015-08-07 09:54:32 -0700,629697140802125824,"Washington, DC",Atlantic Time (Canada)
46,No candidate mentioned,1.0,yes,1.0,Negative,0.6591,Racial issues,1.0,,briaslide,,4416,,,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT",,2015-08-07 09:54:32 -0700,629697140625780736,,Central Time (US & Canada)
47,Donald Trump,0.4642,yes,0.6813,Neutral,0.3407,FOX News or Moderators,0.4642,,leeleemunster,,6,,,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,,2015-08-07 09:54:31 -0700,629697139657076738,,
48,Donald Trump,1.0,yes,1.0,Neutral,0.6524,Jobs and Economy,0.6524,,dbizcap,,189,,,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…,,2015-08-07 09:54:31 -0700,629697135672430592,California,
49,Donald Trump,1.0,yes,1.0,Positive,0.6353,FOX News or Moderators,1.0,,held_jana,,0,,,“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,,2015-08-07 09:54:30 -0700,629697132455424000,,
50,Mike Huckabee,1.0,yes,1.0,Negative,0.6458,None of the above,0.6762,,Matthew8News,,0,,,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",,2015-08-07 09:54:28 -0700,629697124616273920,"Richmond, VA",Eastern Time (US & Canada)
51,No candidate mentioned,0.4004,yes,0.6327,Neutral,0.6327,None of the above,0.4004,,Mor_Fost,,12,,,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,,2015-08-07 09:54:27 -0700,629697122309435392,Fort Worth,New Delhi
52,Rand Paul,0.67,yes,1.0,Positive,0.6397,Women's Issues (not abortion though),0.6397,,WorldWarJess,,78,,,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…",,2015-08-07 09:54:26 -0700,629697118748471296,U.S. city with the most Cubans,Atlantic Time (Canada)
53,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Women's Issues (not abortion though),1.0,,Radiant_Body,,4,,,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…",,2015-08-07 09:54:26 -0700,629697116303028224,"Denver, CO",Central Time (US & Canada)
54,Donald Trump,1.0,yes,1.0,Negative,0.6633,FOX News or Moderators,0.6633,,NewsWriter2,,0,,,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,,2015-08-07 09:54:26 -0700,629697115900391424,Los Angeles,Pacific Time (US & Canada)
55,No candidate mentioned,1.0,yes,1.0,Negative,0.6957,FOX News or Moderators,1.0,,realmojesse5372,,5,,,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",,2015-08-07 09:54:26 -0700,629697115887828992,"Houston, TX",Central Time (US & Canada)
56,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Religion,1.0,,HeathenTech,,5,,,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",,2015-08-07 09:54:25 -0700,629697113656586240,Midgard,Mountain Time (US & Canada)
57,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Racial issues,1.0,,mombizzz,,105,,,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,,2015-08-07 09:54:25 -0700,629697111794286592,U.S.A,Central Time (US & Canada)
58,No candidate mentioned,0.22399999999999998,yes,0.6611,Negative,0.6611,FOX News or Moderators,0.22399999999999998,,janet_sistare,,23,,,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…,,2015-08-07 09:54:25 -0700,629697110485663744,"Rhinebeck, NY",
59,No candidate mentioned,1.0,yes,1.0,Negative,0.6667,Abortion,1.0,,debby_lowery,,230,,,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6",,2015-08-07 09:54:24 -0700,629697109881696256,NW Florida,Central Time (US & Canada)
60,Ted Cruz,0.4664,yes,0.6829,Positive,0.3659,Foreign Policy,0.2499,,MelanieEli2015,,123,,,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…",,2015-08-07 09:54:24 -0700,629697107566309376,,
61,No candidate mentioned,0.4492,yes,0.6702,Negative,0.6702,None of the above,0.4492,,marcylauren,,83,,,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso,,2015-08-07 09:54:24 -0700,629697107201495040,Delaware,Eastern Time (US & Canada)
62,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,search4rr,,154,,,"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…",,2015-08-07 09:54:23 -0700,629697105838383104,"Florida,, usually",Eastern Time (US & Canada)
63,Donald Trump,1.0,yes,1.0,Positive,0.6693,None of the above,0.6815,,tcot2014,,18,,,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…",,2015-08-07 09:54:23 -0700,629697105360240640, NYC,Eastern Time (US & Canada)
64,No candidate mentioned,1.0,yes,1.0,Positive,0.7065,None of the above,1.0,,DavidWarren25,,23,,,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST",,2015-08-07 09:54:23 -0700,629697105318117377,San Diego,Pacific Time (US & Canada)
65,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Foreign Policy,1.0,,TracyCarrillo15,,135,,,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,,2015-08-07 09:54:23 -0700,629697102982066176,,
66,Rand Paul,1.0,yes,1.0,Neutral,0.6559,None of the above,1.0,,Van_der_Leun,,1322,,,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,,2015-08-07 09:54:22 -0700,629697101044158464,"Seattle, WA",Pacific Time (US & Canada)
67,John Kasich,1.0,yes,1.0,Neutral,1.0,Foreign Policy,1.0,,kevinburger72,,45,,,RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,,2015-08-07 09:54:22 -0700,629697098318020609,,Central Time (US & Canada)
68,No candidate mentioned,1.0,yes,1.0,Neutral,0.6983,None of the above,1.0,,Mamadoxie,,0,,,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,,2015-08-07 09:54:22 -0700,629697098171187200,,Mountain Time (US & Canada)
69,Donald Trump,1.0,yes,1.0,Positive,0.3508,None of the above,1.0,,ancient_echoes,,484,,,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…",,2015-08-07 09:54:22 -0700,629697097973919744,"Oxnerd, California",Arizona
70,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,papalputz,,54,,,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…",,2015-08-07 09:54:21 -0700,629697097885945858,Vatican City,
71,Donald Trump,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,randomsubu,,0,,,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",,2015-08-07 09:54:21 -0700,629697097479155712,"Pittsburgh, PA",Eastern Time (US & Canada)
72,No candidate mentioned,0.4444,yes,0.6667,Negative,0.6667,Jobs and Economy,0.2299,,matters_world,,11,,,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",,2015-08-07 09:54:21 -0700,629697097369923588,,
73,Jeb Bush,1.0,yes,1.0,Negative,0.6667,Foreign Policy,0.6667,,ceg1258,,4,,,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",,2015-08-07 09:54:21 -0700,629697094182416385,TEXAS is the greatest state,Central Time (US & Canada)
74,No candidate mentioned,1.0,yes,1.0,Positive,0.337,None of the above,1.0,,wise_bob,,0,,,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,,2015-08-07 09:54:21 -0700,629697093880414208,"Illinois, SW of Chicago",Central Time (US & Canada)
75,Donald Trump,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6768,,palmaceiahome1,,0,,,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",,2015-08-07 09:54:20 -0700,629697091443531776,,Quito
76,No candidate mentioned,0.4536,yes,0.6735,Positive,0.6735,Religion,0.4536,,JoshL78,,233,,,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…",,2015-08-07 09:54:19 -0700,629697088583004161,"Walland, Tn",Eastern Time (US & Canada)
77,Donald Trump,0.4011,yes,0.6333,Negative,0.6333,,0.2322,,lindamama02,,5,,,"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",,2015-08-07 09:54:19 -0700,629697087219707904,,
78,No candidate mentioned,0.3819,yes,0.618,Negative,0.618,Abortion,0.3819,,DanielBeerthuis,,804,,,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,,2015-08-07 09:54:19 -0700,629697086145982464,"Holland, Michigan USA ",Eastern Time (US & Canada)
79,No candidate mentioned,0.6591,yes,1.0,Negative,1.0,None of the above,1.0,,agreenwood0216,,224,,,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,,2015-08-07 09:54:17 -0700,629697080630468608,,
80,No candidate mentioned,0.6691,yes,1.0,Neutral,0.6691,None of the above,1.0,,MBryant_73,,18,,,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt…",,2015-08-07 09:54:17 -0700,629697077434449920,Searcy,Central Time (US & Canada)
81,No candidate mentioned,1.0,yes,1.0,Negative,0.6239,None of the above,0.6239,,reemarakhee,,1,,,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",,2015-08-07 09:54:16 -0700,629697076469891072,,Eastern Time (US & Canada)
82,No candidate mentioned,1.0,yes,1.0,Negative,0.6211,Healthcare (including Medicare),0.6986,,AtticusBooks,,0,,,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,,2015-08-07 09:54:15 -0700,629697071113719808,"Madison, NJ",Eastern Time (US & Canada)
83,No candidate mentioned,1.0,yes,1.0,Positive,0.6667,None of the above,1.0,,Phadros369,,6,,,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,,2015-08-07 09:54:15 -0700,629697070757249024,,
84,Ted Cruz,0.6977,yes,1.0,Positive,0.6977,None of the above,1.0,,DeLoachJW,,1449,,,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",,2015-08-07 09:54:14 -0700,629697065057042432,"Arrington, TN",Eastern Time (US & Canada)
85,Donald Trump,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,ou2va2le2monde2,,532,,,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,,2015-08-07 09:54:13 -0700,629697061924044800,,Pacific Time (US & Canada)
86,No candidate mentioned,1.0,yes,1.0,Neutral,0.6626,None of the above,0.6497,,Willieintn,,23,,,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,,2015-08-07 09:54:13 -0700,629697061550624768,,Eastern Time (US & Canada)
87,No candidate mentioned,1.0,yes,1.0,Negative,0.6889,Abortion,0.6889,,JoshDorner,,0,,,"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn",,2015-08-07 09:54:11 -0700,629697053740912641,The District. ,Quito
88,No candidate mentioned,1.0,yes,1.0,Negative,0.6629,FOX News or Moderators,0.6854,,HugeConspiracy,,61,,,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…,,2015-08-07 09:54:11 -0700,629697053317173248,Southwest USA,
89,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,0.3483,,DoremusJ,,13,,,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…,,2015-08-07 09:54:11 -0700,629697052344123392,9/10th mile north Nowhere OK,
